sample_name,genome,tag,input_id,input_value,input_type,md5
NelumboNucifera-fasta-default,NelumboNucifera,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/nnu.con.gz,files,5e4cef855de2a4ec3ee0d53afb701f89
OryzaBrachyantha-fasta-default,OryzaBrachyantha,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/obr.fasta.gz,files,ea80744386421658dbea878a8458144e
OstreococcusLucimarinus-fasta-default,OstreococcusLucimarinus,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/olu.fasta.gz,files,dacb2cfebcd76a20ea8f52939c0ad457
OstreococcusMediterraneus-fasta-default,OstreococcusMediterraneus,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/ome.fasta.gz,files,83d217a7c9ceaf97d82f2f9b41d8843f
Ostreococcus_sp_RCC809_JGI_v2_0-fasta-default,Ostreococcus_sp_RCC809_JGI_v2_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/orcc809.fasta.gz,files,6d176ae2d44d3bfb845b25f9a4db8df3
OryzaSativa_ssp_japonica_MSU_RGAP_7-fasta-default,OryzaSativa_ssp_japonica_MSU_RGAP_7,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/osa.con.gz,files,e85e040083359430891d8c32f47e5a6a
OryzaSativa_ssp_japonica_JGI_v7_0-fasta-default,OryzaSativa_ssp_japonica_JGI_v7_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/osa.con.gz,files,1c3dd6c4dda2ad672b3908a9197973de
OryzaSativa_ssp_indica_9311_BGF_2005-fasta-default,OryzaSativa_ssp_indica_9311_BGF_2005,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_03/Genomes/osaindica.con.gz,files,c82c93f6f3b89ebc7a8c6dc091fbb5ec
OryzaSativa_ssp_indica_MBKBASE_v1_0-fasta-default,OryzaSativa_ssp_indica_MBKBASE_v1_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/osaindica.fasta.gz,files,9f74c8f1b8d17cf6d26b03b8d3f281a3
OstreococcusTauri-fasta-default,OstreococcusTauri,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/ota.fasta.gz,files,85a993f2cbb5710f5affe1319f3962bc
OropetiumThomaeum-fasta-default,OropetiumThomaeum,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/oth.fasta.gz,files,fea376b120dd522e657ca2f15b00d4b1
PiceaAbies-fasta-default,PiceaAbies,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/pab.con.gz,files,4a90f528465e0ec8dd8e892d439249a9
PetuniaAxillaris-fasta-default,PetuniaAxillaris,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/pax.con.gz,files,2699ee575f69d96572f50485ec25ea5e
PyrusBretschneideri-fasta-default,PyrusBretschneideri,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/pbr.con.gz,files,a0606341c1af1189baddca9244d8aa2b
PhyllostachysEdulis-fasta-default,PhyllostachysEdulis,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/ped.fasta.gz,files,4b4e34c57f9c06e6a3de6a6d54c9593a
PhalaenopsisEquestris-fasta-default,PhalaenopsisEquestris,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/peq.fasta.gz,files,624b81275c4a7189f20dfba6ae76933e
PhyscomitrellaPatens_JGI_v1_1-fasta-default,PhyscomitrellaPatens_JGI_v1_1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/ppa.con.gz,files,ca9e1ce21907600a70add71bd29b9844
PhyscomitrellaPatens_JGI_v3_3-fasta-default,PhyscomitrellaPatens_JGI_v3_3,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/ppa.con.gz,files,37f0bf600a262bb545e4197b9a788859
PrunusPersica_JGI_v1_0-fasta-default,PrunusPersica_JGI_v1_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/ppe.con.gz,files,b42fbfa6d87fc5c9c45bf1ea612cf056
PrunusPersica_JGI_v2_1-fasta-default,PrunusPersica_JGI_v2_1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/ppe.con.gz,files,87fbd38a27e0e9d4c661f688e0b170ed
Picochlorum_RCC4223-fasta-default,Picochlorum_RCC4223,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/prcc4223.fasta.gz,files,98c1637f0f81bc6f338eff4818fb049e
Picochlorum-fasta-default,Picochlorum,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/pse3.fasta.gz,files,35704bd601f1f00c283338ccf000005a
PopulusTrichocarpa_JGI_v3_0-fasta-default,PopulusTrichocarpa_JGI_v3_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/ptr.con.gz,files,49789fb7488f991bdd0619437741948a
PopulusTrichocarpa_JGI_v3_1-fasta-default,PopulusTrichocarpa_JGI_v3_1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/ptr.con.gz,files,d75d8a61d4a84b54673d6d711a8a0d62
PhaeodactylumTricornutum-fasta-default,PhaeodactylumTricornutum,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/ptri.fasta.gz,files,26b32f6d9846fc81e764d092df9de479
RicinusCommunis_JCVI_1_0-fasta-default,RicinusCommunis_JCVI_1_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/rco.con.gz,files,fab6c0054eb3030d5d5a441efb538817
RicinusCommunis_JGI_v0_1-fasta-default,RicinusCommunis_JGI_v0_1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/rco.con.gz,files,3508b3ce108fc78156796f0b8bb174f7
SorghumBicolor_JGI_1_4-fasta-default,SorghumBicolor_JGI_1_4,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_03/Genomes/sbi.con.gz,files,b164b172d671a6a393c09d5f7abdb84b
SorghumBicolor_JGI_v3_1-fasta-default,SorghumBicolor_JGI_v3_1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/sbi.fasta.gz,files,813ebb087fac33199119266d2e4ad2ef
SetariaItalica_JGI_v2_2-fasta-default,SetariaItalica_JGI_v2_2,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/sit.fasta.gz,files,650591c5e36fa5ab60ae3e5d1d30555d
SolanumLycopersicum_ITAG_v2_3-fasta-default,SolanumLycopersicum_ITAG_v2_3,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/sly.con.gz,files,a226442514ec53541a02b248851373e9
SolanumLycopersicum_ITAG_v2_4-fasta-default,SolanumLycopersicum_ITAG_v2_4,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/sly.con.gz,files,23eab24233529855e17a6d15facf03bb
SelaginellaMoellendorffii_JGI_v1_0-fasta-default,SelaginellaMoellendorffii_JGI_v1_0,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/smo.con.gz,files,992c4bb55d07a0c717895234c240477d
SelaginellaMoellendorffii_NCBI-fasta-default,SelaginellaMoellendorffii_NCBI,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/smo.fasta.gz,files,15e32a4addf1220643a617c95bbeb82d
SchrenkiellaParvula-fasta-default,SchrenkiellaParvula,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/spa.con.gz,files,3225647f449736346bf0c76b6cccebd7
SpirodelaPolyrhiza-fasta-default,SpirodelaPolyrhiza,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/spo.fasta.gz,files,6ed34d453c0739197fb8b5bc4f219002
SaccharumSpontaneum-fasta-default,SaccharumSpontaneum,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/ssp.fasta.gz,files,da79a5a93a4c4fae91d2cbc4229b0c6b
SolanumTuberosum_ITAG-fasta-default,SolanumTuberosum_ITAG,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/stu.con.gz,files,f5d0a47adc1c1599967354594ea7d5c0
SolanumTuberosum_JGI_v4_03-fasta-default,SolanumTuberosum_JGI_v4_03,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/stu.con.gz,files,1eccae4a6003877dbc457a40a224a0d1
TriticumAestivum_TGAC_v1-fasta-default,TriticumAestivum_TGAC_v1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04/Genomes/tae.con.gz,files,73f49aeff3aaeccc0162d5c18250c65d
TriticumAestivum_IWGSC_v1_1-fasta-default,TriticumAestivum_IWGSC_v1_1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/tae.fasta.gz,files,76c3a2bf1a2700c0d5be3dd6f45f8446
TheobromaCacao_Phytozome_v1_1-fasta-default,TheobromaCacao_Phytozome_v1_1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/tca.con.gz,files,36849abf74e3ef3cd0d927bde2142449
TheobromaCacao_RefSeq_v1_1-fasta-default,TheobromaCacao_RefSeq_v1_1,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/tca.con.gz,files,72d0f8e4ea944853795b434906d60329
TarenayaHassleriana-fasta-default,TarenayaHassleriana,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/tha.con.gz,files,a7774c31ea15e70876b779f38d6c6fee
ThellungiellaParvula-fasta-default,ThellungiellaParvula,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_03/Genomes/tpa.con.gz,files,3cebf1643007a464b86c5ee8afae4b7b
TrifoliumPratense-fasta-default,TrifoliumPratense,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_dicots_04/Genomes/tpr.con.gz,files,88e4b2c180571ec8d24c84b0a72b6c95
ThalassiosiraPseudonana-fasta-default,ThalassiosiraPseudonana,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_pico_03/Genomes/tps.fasta.gz,files,95ef9fbfb29b91f9ac0d0cdce6d58314
TriticumTurgidum-fasta-default,TriticumTurgidum,default,fasta,ftp://ftp.psb.ugent.be/pub/plaza/plaza_public_monocots_04_5/Genomes/ttu.fasta.gz,files,b4623a43cfc5210d7227bce8105a3598
